Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,,,,0,0,0,1,,,,,0.11731370002962649,,0.03833679994568229,0.11731370002962649,0.11731370002962649,1.9074552999809384,1.0866666666666667,1.8309863000176847,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
pastry,,,,0,1,1,9,,,,,1.9344134000129998,,1.908775100018829,1.9344134000129998,1.9344134000129998,3.0317480000667274,1,1.0781810998450965,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
case,,,,0,2,2,10,,,,,3.067158499965444,,3.032454499974847,3.067158499965444,3.067158499965444,4.027837099973112,1,0.9480489999987185,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
keys,,,,0,3,3,13,,,,,4.0672448999248445,,4.028357499977574,4.0672448999248445,4.0672448999248445,4.810883600031957,1,0.7385134999640286,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
phone,,,,0,4,4,2,,,,,4.83359339996241,,4.811340100131929,4.83359339996241,4.83359339996241,5.645777900004759,1,0.7930807999800891,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
board,,,,0,5,5,4,,,,,5.684263300150633,,5.64631860004738,5.684263300150633,5.684263300150633,6.392250000033528,1,0.7042024000547826,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
mouse,,,,0,6,6,8,,,,,6.4342156001366675,,6.392536600120366,6.4342156001366675,6.4342156001366675,7.1289647000376135,1,0.6924851001240313,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
chart,,,,0,7,7,6,,,,,7.167356800055131,,7.129535499960184,7.167356800055131,7.167356800055131,7.759903399972245,1,0.586747899884358,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
book,,,,0,8,8,0,,,,,7.800253699999303,,7.760407899972051,7.800253699999303,7.800253699999303,8.463617200031877,1,0.6591654000803828,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
cruise,,,,0,9,9,11,,,,,8.502072700066492,,8.464186900062487,8.502072700066492,8.502072700066492,9.091538900043815,1,0.5978172000031918,,,,,,,,,,,,,,,0002,001,2024-11-07_13h48.27.233,Task 5,2024.1.5,None,2024-11-07 13h48.37.578795 +0530,
