Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,,,0,0,0,11,,,,,0.09255200019106269,,0.02814890001900494,0.09255200019106269,0.09255200019106269,2.2710270001553,1.0,2.1954245001543313,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
board,,,,0,1,1,4,,,,,2.3105071000754833,,2.2721270001493394,2.3105071000754833,2.3105071000754833,3.130979600129649,1.0,0.8257984002120793,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
chart,,,,0,2,2,6,,,,,3.158259600168094,,3.1312954002059996,3.158259600168094,3.158259600168094,3.9708738001063466,1.0,0.8007272998802364,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
keys,,,,0,3,3,13,,,,,4.008828700054437,,3.97154530021362,4.008828700054437,4.008828700054437,4.736051500076428,1.0,0.7182438999880105,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
police,,,,0,4,4,12,,,,,4.775425400119275,,4.736569500062615,4.775425400119275,4.775425400119275,5.469709400087595,1.0,0.6867124000564218,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
poster,,,,0,5,5,14,,,,,5.508856300031766,,5.470258200075477,5.508856300031766,5.508856300031766,6.216310800053179,1.0,0.7075336999259889,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
t-shirt,,,,0,6,6,7,,,,,6.241539400070906,,6.216838899999857,6.241539400070906,6.241539400070906,6.8655014000833035,1.0,0.6231048000045121,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
phone,,,,0,7,7,2,,,,,6.891392500139773,,6.865756300045177,6.891392500139773,6.891392500139773,7.619138500187546,1.0,0.714424500009045,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
mouse,,,,0,8,8,8,,,,,7.658796800067648,,7.619853500043973,7.658796800067648,7.658796800067648,8.336739000165835,1.0,0.6708839999046177,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
marble,,,,0,9,9,3,,,,,8.35800310014747,,8.337250200100243,8.35800310014747,8.35800310014747,9.020038900198415,1.0,0.6414570999331772,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
